"PRO_1","PRO_2","PRO_3","PRO_4","PRO_5","PRO_6","PRO_7","PRO_8","PRO_9","PRO_10","PRO_11","PRO_12","PRO_13","PRO_14","PRO_15","PRO_16","PRO_17","PRO_18","PRO_19","PRO_20","PRO_21","PRO_22","PRO_23","PRO_24","PRO_25","PRO_26","PRO_27","PRO_28","PRO_29","PRO_30","PRO_31","PRO_32","PRO_33","PRO_34","PRO_35","PRO_36","PRO_37","PRO_38","PRO_39","PRO_40","PRO_41","PRO_42","PRO_43","PRO_44","PRO_45","PRO_46","PRO_47","PRO_48","PRO_49","PRO_50","PRO_51","PRO_52","PRO_53","PRO_54","PRO_55","PRO_56","PRO_57","PRO_58","PRO_59","PRO_60","PRO_61","PRO_62","PRO_63","PRO_64","PRO_65","PRO_66","PRO_67","PRO_68","PRO_69","PRO_70","PRO_71","PRO_72","PRO_73","PRO_74","PRO_75","PRO_76","PRO_77","PRO_78","PRO_79","PRO_80","PRO_81","PRO_82","PRO_83","PRO_84","PRO_85","PRO_86","PRO_87","PRO_88","PRO_89","PRO_90","PRO_91","PRO_92","PRO_93","PRO_94","PRO_95","PRO_96","PRO_97","PRO_98","PRO_99","PRO_100"
"RNA_1",0.699859764142286,-0.00132853370921864,0.18634878958541,0.0678025380322889,0.322861864765044,0.057574261418037,-0.176230538864047,-0.281387932645337,-0.0704794596623367,0.035532779950691,-0.192696988539084,-0.0781746376630967,-0.221912201681456,-0.0627988747144626,-0.0273646487351052,0.0461389844874779,-0.124704662062604,-0.0191815243052601,-0.121613333176846,0.045191572056039,0.0370484591255613,-0.0884565210389183,0.0742585716399807,0.110494859156683,-0.126481029016694,0.168382251543287,0.0206500088275532,-0.196893066526936,0.201940601475252,-0.16222347480229,0.167426261437862,0.00594152835028535,0.0935974014996757,-0.0844677753836139,-0.137004187680697,-0.0265412556693019,0.0417271042089199,-0.23064542000287,0.0828876298110086,-0.0743981712781249,0.101952864260105,0.212125415771189,-0.138482111206415,0.17182939271438,-0.0309154442904224,0.12511246681654,-0.0777946878646601,-0.0580412940189808,-0.0295740764134431,0.204978148716182,-0.0645294323936955,0.0460536558975293,-0.190900083158296,0.00447968526982648,0.0406356833608537,-0.0459061976514924,-0.0390318963286145,-0.0372016035743362,-0.104869887083202,0.000945829582404477,0.00550874471055196,-0.174794472781105,0.0288813454754475,0.0245216495329503,-0.0763684388760503,0.144533869143445,-0.0989306123910722,-0.0536057644799929,-0.14511469626624,0.000446430544601166,-0.187694736308382,0.0245376810350892,0.0999476328949727,-0.0868256926454074,0.0297939742152942,0.135837919128693,-0.0803008127808907,0.240020752274751,0.0716091300697599,0.00375714925194202,-0.0488026058519463,-0.00485622144564438,0.0726704686921339,-0.0182910665783684,-0.00629704961734866,0.0832546858662633,-0.154115907914554,-0.203363096366084,-0.137519538508888,-0.0791058619320972,-0.152713953667491,-0.233933995166986,0.168193996439448,0.0858370180414478,0.0842985122127627,0.267244145553918,0.167917549485133,-0.00755914652608347,0.082287992765349,-0.0316987277664485
"RNA_2",0.00107491070102198,0.547564008113543,0.204657584315063,-0.253538419932909,0.232196352278947,-0.0308452348374469,-0.266649108548139,-0.174421396252372,-0.0324814878556717,0.176003540879874,0.180053588716131,-0.203362804658288,-0.284871999193588,-0.00106849859764287,0.0551556992212208,0.0436532928016591,-0.0882934259736422,0.0003704389733232,0.0692142905089761,0.16035806628016,0.352660495950738,0.0453286496045416,0.013930841509511,-0.00592233760241108,-0.256753963387152,0.0526057634679248,-0.233341179208479,-0.0882708634642645,0.234704746729341,-0.113512956134021,0.0371608017039322,-0.0982429174960801,0.10972560750909,0.0351444316697466,-0.118608652978569,-0.0857780863266572,0.186538681913198,-0.183153701739954,0.22160110775429,-0.028911243583908,-0.071954895670381,0.182971293589913,-0.244221099319458,0.127275256598318,0.297468465023634,0.190138054946429,-0.247202465073504,0.0269757733780527,-0.197041688543418,0.0276482568310525,0.0780378246123845,-0.0543958466850267,-0.257884524028815,-0.0148985797985802,-0.166643519712086,0.0697052617606611,-0.286392380148853,-0.150763240190398,0.146408334667988,-0.0267934219613895,0.128375549246359,-0.0674709455862899,0.171307172090128,0.0201988556849736,-0.101772668056485,-0.138583269335967,-0.199958012500681,-0.248720678034014,-0.167345071901226,0.215429455113718,0.035094921291311,-0.0190271414407935,0.116092106769057,0.151005520851455,-0.0564768084309018,0.13401440506978,-0.196455468320285,0.237205863647325,0.145242758289669,0.122689638482293,-0.174850388431052,-0.166569418244676,0.160490518442046,0.336578202670586,-0.0630271072075753,-0.0803979594503015,-0.148503764407085,0.012843977800607,-0.0984201308105563,0.348489104394201,-0.0885947531517266,-0.0994804051296346,0.0499363864856791,-0.027017142679307,0.0520664158925945,-0.0273404730988695,0.130585506048719,-0.0372879213688743,-0.185797233598871,0.130146877596391
"RNA_3",0.424029118905084,0.144178485830555,0.738978454214149,-0.11740565532771,0.360184647594356,0.333193946333296,-0.415765100571463,-0.473832889429198,0.0504218889248156,0.315162795564483,-0.0343941162704008,-0.173677194525587,-0.381474395032181,-0.233087750362931,0.0012251703976251,-0.147156074624764,-0.333626447828134,0.0529563026246455,-0.0659797627492741,0.176858911383117,0.108645656986059,-0.230728987916915,0.432290060177831,-0.131773104434603,-0.274103580824808,0.141044707354046,-0.200488013061202,-0.345602137078009,0.426339886162433,-0.413764558496276,0.529138452213882,-0.269322651155275,0.429170493260067,-0.206184574472804,-0.318032735959429,0.228114222764391,0.000665892836696124,-0.439809708834807,0.257173655629631,-0.400884885924764,-0.074460318682417,0.331466922001222,-0.34093191026923,0.342874514460424,0.190901820191651,0.297163872355534,-0.196916643041796,-0.107276017030669,-0.405805498232191,0.418985909062482,-0.106275194753155,0.178896870502222,-0.368730708540817,-0.124192796239846,-0.0246848299870018,-0.083393317852197,-0.212402218150007,-0.20573596125412,-0.319018584253129,0.0612468294040219,0.120627237632027,-0.137021258829409,0.259056991439624,0.0905140602225208,-0.226550622956932,-0.00395637457752167,-0.284009155670057,-0.268887796432704,-0.397220750614003,0.114049769127545,-0.312289071342677,-0.138847412918078,0.196139894903484,-0.251713874757861,0.23916210974645,0.355423981937369,-0.147675213584848,0.321776417744903,0.394503332323625,0.214603875803466,-0.0666397621946563,0.0330784532105349,0.036888845738027,0.117003802241398,0.23986790980661,0.296163446213201,-0.143954175393264,-0.239548125892022,-0.452074045038558,0.281059259060131,-0.120811463205175,-0.33476322432764,0.313518651278194,0.114758887864114,0.209267380098579,0.221073114540925,0.228178504898967,0.263664303987647,0.173029999938156,-0.0354538299883256
"RNA_4",0.0761600446088408,-0.218359352700301,-0.0844766153020071,0.528124083353361,-0.0765422668215326,0.00331581800950669,0.233651919483072,-0.0220606766663633,-0.0724613765382166,0.154484552534061,-0.215428923986178,0.071338132982862,0.20437178248864,-0.143807718330818,-0.189977886793631,0.104120619539118,-0.156004398328697,-0.12616711389452,-0.153516132909072,-0.0649404367142602,-0.261796402745158,-0.0390875985930757,-0.0420353744209516,-0.192579317838484,0.155684109516102,0.247837390130996,0.334067627097239,-0.131853472674533,-0.117247615534184,-0.126429902760389,0.088003652166716,-0.0224859121545733,-0.0254970394637709,-0.0519133757301423,-0.16691921787433,-0.111499917389148,-0.121498413455702,0.147691610813656,-0.187376938944161,-0.0495275099364595,-0.118745203907679,-0.079475177167939,0.00784855589408348,-0.000807255633937295,-0.170793026161366,-0.122610363039334,0.252111009994419,-0.280467823190088,0.356776520979486,0.0874171361892186,-0.0836805413415039,0.0245124023068157,0.119774767986536,-0.109215982741185,0.24335747597768,-0.194176836157304,0.274631543311096,0.428723274411906,-0.126521895735484,-0.0562572055461468,-0.257519871379578,-0.0429197401014139,-0.0304755977684096,-0.0665348333835352,0.0601823490092674,0.395880975638885,0.267251884945039,0.265191903315725,0.128869659315889,-0.379515993506267,-0.052825607210268,-0.0421397985566304,-0.162468430956463,-0.319989335915284,0.186815700532508,-0.217170005607675,0.102276085421656,-0.0275229093720525,-0.105990957195062,0.0807206775395079,0.115494807164838,0.412159662476552,-0.271577475122749,-0.182862032605533,0.0356401310473192,0.117316264871896,-0.172759766163026,-0.189920150168849,-0.115101461354178,-0.173715249397106,-0.192370195865713,-0.0481094065499892,0.164995447265168,0.25177585048998,-0.153451815564723,0.256957702749575,-0.126631420839098,0.204218917999678,0.334332928121683,-0.0201656280492341
"RNA_5",0.464497860305849,0.200643288686488,0.402206600137781,-0.197226897914867,0.787023976240077,0.207852470851466,-0.374583411932823,-0.473526404932394,0.053580197675817,0.117187635482811,-0.0982951753272253,-0.28575382839104,-0.405633750138779,-0.168497192772458,-0.0547561082281154,-0.113486420554169,-0.262467188038211,-0.0826608102597952,-0.186016329838583,0.0838767683936936,0.160750554397805,-0.245904934859074,0.350354901855076,0.161196970800889,-0.295889383339923,0.163915260601139,-0.218298491405938,-0.343861422540982,0.4260045328521,-0.320066177685831,0.249710196978798,-0.0951018375210883,0.314015442773047,-0.121105335660704,-0.291230823948533,0.112614439708819,0.0080825602449842,-0.338531809293683,0.0602882985907463,-0.188781003597592,-0.00416019760411449,0.319240162685625,-0.365551546252888,0.0988094430248161,0.00833581326997953,0.243603599857343,-0.180913213421455,0.0078003783102107,-0.350188580799191,0.289129060620913,-0.116786931932285,0.0651428646710536,-0.386120350537805,-0.111245572529958,-0.0136865523706479,-0.0358174890336658,-0.227488249146502,-0.261797902461285,-0.310240866371413,0.103026421088632,0.0840584139067239,-0.208168333001014,0.352977720026304,-0.00245386158003861,-0.0516938910784835,0.0760437085229684,-0.359265119698673,-0.330806827409426,-0.417178058428028,0.138079468928015,-0.271958168427409,0.0789065266038687,0.172822170141307,-0.0915437519338403,0.182453955607619,0.353991264573947,-0.0873797495032059,0.376775451551256,0.255361782389893,0.198967297178243,-0.0208853987576567,-0.0151119591953956,0.213307504030094,0.211795788882599,0.241779558942368,0.181251247518192,-0.216907679841187,-0.191043645349874,-0.193628238453003,0.160913460607035,-0.151330617310743,-0.264507079795056,0.181860649673569,0.110719310275412,0.225380786522512,0.334121600658539,0.315180005916607,0.172638946160298,0.0847401544329673,0.0433508988201266
"RNA_6",0.0493294264812141,0.00502395689339177,0.240899758230173,0.01375957218954,0.104713544826195,0.60157647320263,-0.178936032729195,-0.177128641267793,0.153062101488395,0.179704390348781,-0.0603413217102538,0.0190165436269691,-0.166158833519841,-0.0943800552078814,-0.0673623702725261,-0.215629317724058,-0.294954975233125,-0.172271745572024,-0.189455889227939,0.0236818985996181,-0.311259365237438,-0.190633777074211,0.335761725439608,-0.154282031117152,-0.0134588917817082,0.115651431630801,-0.0700227479117587,-0.159470702183054,0.290682173188109,-0.230017201384203,0.385695577071973,-0.151342607057661,0.181482289671184,-0.00611751102687053,-0.0916108462134279,0.356827674672594,-0.129358760683505,-0.206212559075536,0.0240897073809962,-0.167465231261242,-0.0745886003386149,0.0228217887670948,-0.0828362454875841,0.169649034805352,-0.0977891837495499,-0.0380872100281852,-0.068762083684263,-0.0554705885180243,-0.239764324938896,0.201751173341616,-0.173968188026523,0.0668193051519496,-0.0533926609074806,-0.250119863172637,0.105577417325284,-0.216874510769055,-0.000233789976772411,-0.0257544668189166,-0.315280397442636,0.0159958675141273,0.00977266557474043,0.245876038796353,0.129762684616801,0.0724603142730163,-0.0348264371719472,0.0138697810773472,-0.170624410879659,-0.125857866499049,-0.203012569548781,-0.180736376580593,-0.217218450673843,-0.161336028483077,-0.00384222455592963,-0.260279583371629,0.246375210092082,0.087687988338,0.0627074940283554,0.00230924300685425,0.175461502102431,0.211710603500338,-0.0426779926801294,0.14763422076833,-0.119026751161203,-0.0218622367659554,0.404660377455972,0.30723849396495,0.0878074188636945,-0.110246423620072,-0.181882419739278,0.14279180641462,0.145600333066758,-0.00870352932063345,0.151717662746819,0.0711628337758029,0.150201603593008,0.11724137441231,0.237670868776131,0.193037348379935,0.0562433264800246,-0.176971000459509
"RNA_7",-0.352462524572576,-0.247584788127338,-0.447354223249595,0.357383205660383,-0.419929858848738,-0.130946797951475,0.744469038234401,0.552091771164958,-0.0169687544576554,-0.241102229537294,0.0904169690483498,0.401517468557924,0.523950044513977,0.246830414063007,-0.130355663161075,0.0276099528385267,0.293530607849272,-0.0942234865886729,-0.0227319614335748,-0.395820969453674,-0.187417955217292,0.31792687186676,-0.373348356584817,-0.0746764892170132,0.382271558241691,-0.158103650603054,0.519234165133172,0.321573046903632,-0.390985348588732,0.349603209261498,-0.186943310536148,0.136634043056018,-0.362668419220587,0.0635527671112047,0.26925359485933,-0.151577393087531,0.0263089204210983,0.383690011283551,-0.302752321447889,0.345554028421024,0.0812881129247992,-0.38030003655786,0.523818622514453,-0.154867694766986,-0.32281489945668,-0.314292395916906,0.372438567135072,-0.104865617462044,0.493086917175897,-0.371235517211754,0.00832788420535101,-0.205555003048812,0.601387500353197,0.0854474429158617,0.175192780413082,-0.114445891047725,0.334235487117374,0.308497812491891,0.224542850291009,-0.215654287186286,-0.331899922254164,0.112780886832165,-0.448183925859583,-0.178462040904194,0.120297580475243,0.139061510907233,0.330668778361559,0.468835969376095,0.526319241009536,-0.274667197428193,0.316843769985321,0.158105746007837,-0.285523101359096,-0.0458802575090544,-0.20563630210761,-0.524175487771312,0.148678744769713,-0.467494685772033,-0.312448455808617,-0.270260046668131,-0.0139552314455716,0.121854334794544,-0.313189629356989,-0.399898736622823,-0.227852150627551,-0.119796256273291,0.224171975314654,0.127727822172812,0.121479291858011,-0.464364365847722,0.267887655738309,0.242555352332752,-0.265377986647927,-0.230720312183479,-0.141151135588348,-0.205516333244275,-0.254566562701108,-0.18946834547281,0.0185354573591285,-0.181676946061852
"RNA_8",-0.476062604955874,-0.21141362078402,-0.542375884002244,0.113697867138803,-0.519845538934294,-0.2491805355578,0.392550793914231,0.730810085566266,-0.0162003286227206,-0.246154264110574,0.0785673722758301,0.340993658594076,0.379390308075365,0.334378109295691,0.14340415652723,-0.0491360893476446,0.38855554996678,0.138358826309613,0.256378181558057,-0.277174455496401,-0.0963262209326669,0.354333467770903,-0.353576343902014,0.0178918578662545,0.264758097791998,-0.224970864842505,0.0581187079920399,0.560974833928219,-0.428292583516629,0.48902200357161,-0.466141497001139,0.054270034259171,-0.406306903183588,0.306496966491833,0.484902695004599,-0.0972835831804123,0.00210657736866928,0.359873617317727,-0.134495456563284,0.339237266983291,0.242460493730591,-0.369693257854048,0.553127437832966,-0.248415883116678,-0.195379404717413,-0.270450934076208,0.0566871344161182,0.184650283626331,0.356722926589179,-0.373328866525801,-0.0598161368100597,-0.153894102945411,0.467686204334548,0.201997615639057,-0.110626526688951,-0.122049831682096,0.202226913131638,0.22710572596055,0.43635743284935,-0.127270529285123,-0.00705825902354913,0.293330913047848,-0.372904430708441,-0.0836744389698583,-0.0527566360362691,-0.189735701682952,0.152682023063627,0.266514592681011,0.552892486271173,-0.0244045605895608,0.411357021345821,-0.100081312999701,-0.223716109446007,0.183362579899123,-0.328710810774824,-0.359481371933928,-0.0765386251731683,-0.342443540031397,-0.376502707632739,-0.202356318451314,-0.0695364604292363,-0.0705606367687173,-0.272193774811824,-0.29533874398726,-0.252178429368699,-0.106760844516975,0.401001197266374,0.328968502887396,0.420415727588718,-0.340313332781201,0.252173834824545,0.331624370457521,-0.310722368296765,-0.225292255635253,-0.0800156037198086,-0.390395162098182,-0.251228682651573,-0.373816314247308,-0.218576896086456,-0.17283527949124
"RNA_9",0.0144630838408759,-0.0162819977048358,0.152397872041873,0.0630466181971752,0.0468877097928302,0.183264916847733,-0.0565989713799421,-0.163887243238415,0.0312229657918401,0.122560517068168,-0.0628970582916707,-0.0668595154389831,-0.0800190654134884,-0.170612515734455,-0.202597354368595,0.0386929453130982,-0.254076738400937,-0.170447424290285,-0.178019609526378,-0.026479304627875,-0.11742407501852,-0.174068432860196,0.225938179939403,-0.189402509059478,0.0218475943168099,0.211833860059539,0.00852838953497379,-0.254076734539956,0.125631241010217,-0.146182103193966,0.172599108910562,-0.155017178331097,0.207698781977055,-0.105354443939699,-0.177149719152438,0.145298840897315,-0.0861175995048808,-0.0586405100417394,-0.00899569529845863,-0.141841220205158,-0.150281083096072,0.0548601998840992,-0.187696346605426,0.0319684557696885,-0.0303831776749886,0.000905268249656403,0.00161120087615157,-0.189204246510299,-0.0460331493215713,0.118702406437719,-0.148271015965296,0.120609359890978,-0.073933747464235,-0.130122266652133,0.216908319084506,-0.158447843332657,0.089131462182492,0.0892366268698924,-0.252641212314164,-0.0776406818614786,-0.047804844300614,0.0719021200595345,0.145827295119143,-0.0155276874441637,0.0620268620666666,0.153282794852653,0.150696601872433,-0.0188594525088048,-0.0815178474078396,-0.27642678081066,-0.195418983751674,-0.0732716932787762,-0.0391738315333723,-0.2432941886613,0.353807027718456,0.0385462426411166,0.168694435509675,0.0774010611034384,0.094366875127975,0.19955902761306,0.0487466120078515,0.205073054779375,-0.0443056064649737,-0.0229231737139145,0.249674279157901,0.128855827772781,-0.149460012308227,-0.190285430322291,-0.22174024749813,0.0857370644488746,-0.182942152875727,-0.0947297703000489,0.11082281269126,0.306431495650668,-0.0305326838591225,0.241475706300063,0.0336279712789197,0.484758486977669,0.266556601385669,-0.011459670249758
"RNA_10",0.194017320542095,0.210060814109206,0.159184833516343,0.0565603975089052,0.186021681113525,-0.0592751486116331,-0.206010735205148,-0.331786533807254,-0.0762432995985567,0.440127547622061,-0.0298793637877893,-0.246735013745197,-0.207620432206909,-0.204465224236659,-0.0307667686546674,0.241685231542269,-0.217375776726359,-0.0780895272759877,-0.0473929945481423,0.292023944575044,0.091528248960116,-0.117192884406682,-0.00427526042385463,-0.180707657257966,-0.0957842283167136,0.25621765359659,-0.0336298230307623,-0.295224417104844,0.1546086396297,-0.284881194855269,0.0279045323739569,-0.0672109347416664,0.190537493683686,-0.127724186522529,-0.318693526746998,-0.235964981652383,-0.0354289396657429,-0.126653295149233,0.156752717281993,-0.14360225113268,-0.241701624642365,0.207633296894574,-0.415078058232595,0.156547935595986,0.237028553616566,0.18475096575615,-0.134188814677023,-0.210790483759569,-0.0270318945638426,0.195443894522772,0.0630697708196271,0.0904882904850432,-0.26739350162134,-0.0530664134668847,0.118374139993891,0.0265715621636905,-0.0988265571735358,0.0385577288412883,-0.0251295214173857,0.0830695864788162,-0.0125084140118104,-0.173814744050922,0.378227761096051,0.139062495235222,0.0468544903770997,0.153243718427834,0.0265090809058519,-0.215132423849532,-0.153213146090265,-0.0622767976754206,-0.178116973713601,-0.128330751645989,0.132663680213015,-0.0867676402242555,0.24662765855179,0.0985833666934234,-0.0377845292083668,0.291249304816653,-0.0669601819783595,0.263997470999304,0.0167672340058779,0.148831075228513,0.0840563519445217,0.17243797447423,-0.00872932323711541,-0.0724300485447461,-0.301230507001679,-0.224593334341723,-0.206915342032166,0.389191163173107,-0.422410254513557,-0.206448699885354,0.259640257646283,0.220454067726988,-0.173808116711881,0.204453576643859,-0.00825760443286959,0.17676889081696,0.0742596141394894,0.285524414249083
