hgnc_symbol	chromosome_name
RNU6-1189P	X
RNA5SP415	16
RN7SL516P	2
RNU1-32P	2
RN7SL38P	12
AC006960.1	7
AC120778.1	CHR_HSCHR15_3_CTG8
SNORD62B	9
RN7SL470P	2
MIR3115	1
RNA5SP221	6
AC024051.8	17
RN7SL329P	8
RN7SL856P	2
MIR6735	1
AC114737.1	7
MIR5584	1
RNU6-867P	X
RNU6-359P	16
SNORA74B	5
MIR556	1
RNA5SP48	1
RN7SL238P	15
SNORD66	3
AL592188.1	GL000220.1
MIR1295B	1
RNU7-87P	13
RN7SL462P	9
MIR4677	1
AC103987.1	18
RNU6-113P	21
MIR1237	11
AC092324.1	16
AC244035.3	1
MIR4691	11
AC007000.1	7
AL109925.1	1
RNA5SP407	16
RN7SL362P	18
MIR4697	11
RNA5SP296	9
MIR3198-2	12
AC010542.5	16
RNA5SP206	6
RN7SL803P	5
MIR4496	12
RNU6-1160P	9
RNU6-185P	15
AL034351.6	CHR_HG1832_PATCH
MIR18A	13
AC124864.1	21
AC022413.1	5
SNORD116-25	15
AC091133.2	17
MIR1469	15
SCARNA13	14
AL133383.1	1
RNU6-19P	15
MIR5587	16
AC079601.1	12
RNU6-57P	13
AC112497.1	X
RNU2-45P	6
MIR3976	18
AL096828.4	20
RN7SL297P	2
AC004707.1	17
MIR526B	19
CR788250.4	CHR_HSCHR6_MHC_MCF_CTG1
AC051649.3	11
AC010980.1	2
MIR4779	2
RNA5SP86	2
AC091825.2	5
MIR6811	2
SNORD25	11
SNORA3A	11
MIR3617	20
RNU6-154P	X
MIR1257	20
RNU6-112P	4
MIR33A	22
BX004987.1	GL000009.2
SNORA54	CHR_HSCHR11_1_CTG7
MIR4762	22
AC094019.3	3
MIR449C	5
MIR6831	5
MIR8056	5
MIR550B1	7
KLF13	CHR_HSCHR15_4_CTG8
MIR4650-1	7
MIR596	8
MIR181A2	9
MIR3689E	9
RNU6-325P	10
RNU6-450P	17
MIR548F5	X
AC136616.3	KI270728.1
RNU6ATAC41P	8
MIR105-1	X
RNA5SP319	10
RNU6-984P	9
RN7SL394P	10
AC004080.16	7
RNU1-30P	3
RN7SL382P	4
AL035450.1	22
RN7SL517P	3
RNU6-609P	1
AC003688.1	17
RNU6-983P	1
RN7SKP224	2
AC074021.1	7
AC011841.2	GL000205.2
Z97632.1	X
SNORA60	20
RN7SL865P	12
RNU6-1297P	1
RNU6-559P	9
MBOAT7	CHR_HSCHR19LRC_LRC_S_CTG3_1
AC004386.3	X
AC100843.1	18
AC012314.18	CHR_HSCHR19LRC_PGF2_CTG3_1
RNU7-133P	6
AL365219.1	6
RNU6-619P	2
AC079835.1	4
AC013603.1	8
RNU4-82P	9
RNU6-1025P	CHR_HSCHR11_2_CTG1
AC136352.1	CHR_HSCHR15_1_CTG1
RN7SL262P	X
RNU2-26P	X
SCARNA23	X
RNU6-462P	4
AC237044.1	CHR_HSCHR7_3_CTG6
AC137488.1	22
AC123595.2	5
RNU6ATAC23P	X
RNA5SP139	3
